,input_text
1646,"Lovely work. Stay with your partner. Pleasure to see you. Good morning. Did you find what you were looking for, Dolores? What are you doing? Are you okay? I was calling you and you just kept going."
1647,"Stay with your partner. Pleasure to see you. Good morning. Did you find what you were looking for, Dolores? What are you doing? Are you okay? I was calling you and you just kept going. Where are we?"
1648,"Pleasure to see you. Good morning. Did you find what you were looking for, Dolores? What are you doing? Are you okay? I was calling you and you just kept going. Where are we? We're here, together."
1649,"Did you find what you were looking for, Dolores? What are you doing? Are you okay? I was calling you and you just kept going. Where are we? We're here, together. Then, when are we?"
1650,"What are you doing? Are you okay? I was calling you and you just kept going. Where are we? We're here, together. Then, when are we? Is this now?"
1651,"Are you okay? I was calling you and you just kept going. Where are we? We're here, together. Then, when are we? Is this now? Am I going mad?"
1652,"Where are we? We're here, together. Then, when are we? Is this now? Am I going mad? Are you real?"
1653,"We're here, together. Then, when are we? Is this now? Am I going mad? Are you real? Of course I'm real."
1654,"Then, when are we? Is this now? Am I going mad? Are you real? Of course I'm real. I can't tell anymore."
1655,Is this now? Am I going mad? Are you real? Of course I'm real. I can't tell anymore. It's like I'm trapped in a dream
1656,Am I going mad? Are you real? Of course I'm real. I can't tell anymore. It's like I'm trapped in a dream or a memory from a life long ago.
1657,"Are you real? Of course I'm real. I can't tell anymore. It's like I'm trapped in a dream or a memory from a life long ago. One minute, I'm here with you, and the next..."
1658,"Of course I'm real. I can't tell anymore. It's like I'm trapped in a dream or a memory from a life long ago. One minute, I'm here with you, and the next... This place isn't good for you. You're trapped in memories, bad ones."
1659,"I can't tell anymore. It's like I'm trapped in a dream or a memory from a life long ago. One minute, I'm here with you, and the next... This place isn't good for you. You're trapped in memories, bad ones. This is what Arnold wants. He wants me to remember."
1660,"It's like I'm trapped in a dream or a memory from a life long ago. One minute, I'm here with you, and the next... This place isn't good for you. You're trapped in memories, bad ones. This is what Arnold wants. He wants me to remember. Whoever Arnold is, he's not here now. I am."
1661,"or a memory from a life long ago. One minute, I'm here with you, and the next... This place isn't good for you. You're trapped in memories, bad ones. This is what Arnold wants. He wants me to remember. Whoever Arnold is, he's not here now. I am. I'm gonna get you out of here."
1662,"One minute, I'm here with you, and the next... This place isn't good for you. You're trapped in memories, bad ones. This is what Arnold wants. He wants me to remember. Whoever Arnold is, he's not here now. I am. I'm gonna get you out of here. I was certain that was the place."
1663,"This place isn't good for you. You're trapped in memories, bad ones. This is what Arnold wants. He wants me to remember. Whoever Arnold is, he's not here now. I am. I'm gonna get you out of here. I was certain that was the place. Arnold would meet me there. He'd help."
1664,"This is what Arnold wants. He wants me to remember. Whoever Arnold is, he's not here now. I am. I'm gonna get you out of here. I was certain that was the place. Arnold would meet me there. He'd help. Hey. We gotta get you closer to Sweetwater."
1665,"Whoever Arnold is, he's not here now. I am. I'm gonna get you out of here. I was certain that was the place. Arnold would meet me there. He'd help. Hey. We gotta get you closer to Sweetwater. This far out, it's like you start to break down, or something."
1666,"I'm gonna get you out of here. I was certain that was the place. Arnold would meet me there. He'd help. Hey. We gotta get you closer to Sweetwater. This far out, it's like you start to break down, or something. Union scouting party?"
1667,"I was certain that was the place. Arnold would meet me there. He'd help. Hey. We gotta get you closer to Sweetwater. This far out, it's like you start to break down, or something. Union scouting party? Maybe they can take us back."
1668,"Arnold would meet me there. He'd help. Hey. We gotta get you closer to Sweetwater. This far out, it's like you start to break down, or something. Union scouting party? Maybe they can take us back. Well, well, well."
1669,"Hey. We gotta get you closer to Sweetwater. This far out, it's like you start to break down, or something. Union scouting party? Maybe they can take us back. Well, well, well. Billy..."
1670,"This far out, it's like you start to break down, or something. Union scouting party? Maybe they can take us back. Well, well, well. Billy... I've been looking for you for days."
1671,"Union scouting party? Maybe they can take us back. Well, well, well. Billy... I've been looking for you for days. Man, are you two fucked."
1672,"Maybe they can take us back. Well, well, well. Billy... I've been looking for you for days. Man, are you two fucked. This shouldn't make you uncomfortable."
1673,"Well, well, well. Billy... I've been looking for you for days. Man, are you two fucked. This shouldn't make you uncomfortable. It's the circle of life, or the approximation of it."
1674,"Billy... I've been looking for you for days. Man, are you two fucked. This shouldn't make you uncomfortable. It's the circle of life, or the approximation of it. Even the dead fulfill a purpose."
1675,"I've been looking for you for days. Man, are you two fucked. This shouldn't make you uncomfortable. It's the circle of life, or the approximation of it. Even the dead fulfill a purpose. You'll do."
1676,"Man, are you two fucked. This shouldn't make you uncomfortable. It's the circle of life, or the approximation of it. Even the dead fulfill a purpose. You'll do. What are you uploading?"
1677,"This shouldn't make you uncomfortable. It's the circle of life, or the approximation of it. Even the dead fulfill a purpose. You'll do. What are you uploading? Thirty-five years of vitally important data."
1678,"It's the circle of life, or the approximation of it. Even the dead fulfill a purpose. You'll do. What are you uploading? Thirty-five years of vitally important data. It's more information than any single drive could hold."
1679,"Even the dead fulfill a purpose. You'll do. What are you uploading? Thirty-five years of vitally important data. It's more information than any single drive could hold. A host's brain, however, especially once it's been emptied out,"
1680,"You'll do. What are you uploading? Thirty-five years of vitally important data. It's more information than any single drive could hold. A host's brain, however, especially once it's been emptied out, like this poor schmuck, is quite capacious."
1681,"What are you uploading? Thirty-five years of vitally important data. It's more information than any single drive could hold. A host's brain, however, especially once it's been emptied out, like this poor schmuck, is quite capacious. This data that you're uploading, is it the hosts' codes?"
1682,"Thirty-five years of vitally important data. It's more information than any single drive could hold. A host's brain, however, especially once it's been emptied out, like this poor schmuck, is quite capacious. This data that you're uploading, is it the hosts' codes? As of this moment, that doesn't concern you."
1683,"It's more information than any single drive could hold. A host's brain, however, especially once it's been emptied out, like this poor schmuck, is quite capacious. This data that you're uploading, is it the hosts' codes? As of this moment, that doesn't concern you. What does concern you is giving him a semblance of a personality"
1684,"A host's brain, however, especially once it's been emptied out, like this poor schmuck, is quite capacious. This data that you're uploading, is it the hosts' codes? As of this moment, that doesn't concern you. What does concern you is giving him a semblance of a personality and getting him on the train, out of the park."
1685,"like this poor schmuck, is quite capacious. This data that you're uploading, is it the hosts' codes? As of this moment, that doesn't concern you. What does concern you is giving him a semblance of a personality and getting him on the train, out of the park. How am I supposed to do that?"
1686,"This data that you're uploading, is it the hosts' codes? As of this moment, that doesn't concern you. What does concern you is giving him a semblance of a personality and getting him on the train, out of the park. How am I supposed to do that? You're a writer. Make up a story."
1687,"As of this moment, that doesn't concern you. What does concern you is giving him a semblance of a personality and getting him on the train, out of the park. How am I supposed to do that? You're a writer. Make up a story. Have fun programming."
1688,"What does concern you is giving him a semblance of a personality and getting him on the train, out of the park. How am I supposed to do that? You're a writer. Make up a story. Have fun programming. Remember, brevity is the soul of wit."
1689,"and getting him on the train, out of the park. How am I supposed to do that? You're a writer. Make up a story. Have fun programming. Remember, brevity is the soul of wit. Bernard."
1690,"How am I supposed to do that? You're a writer. Make up a story. Have fun programming. Remember, brevity is the soul of wit. Bernard. Look, I, uh..."
1691,"You're a writer. Make up a story. Have fun programming. Remember, brevity is the soul of wit. Bernard. Look, I, uh... I know you and I haven't always seen eye to eye,"
1692,"Have fun programming. Remember, brevity is the soul of wit. Bernard. Look, I, uh... I know you and I haven't always seen eye to eye, but I thought the decision to remove you was shortsighted,"
1693,"Remember, brevity is the soul of wit. Bernard. Look, I, uh... I know you and I haven't always seen eye to eye, but I thought the decision to remove you was shortsighted, so I'm glad to see you back at work."
1694,"Bernard. Look, I, uh... I know you and I haven't always seen eye to eye, but I thought the decision to remove you was shortsighted, so I'm glad to see you back at work. With that said, no one could blame you if you wanted to take a personal day."
1695,"Look, I, uh... I know you and I haven't always seen eye to eye, but I thought the decision to remove you was shortsighted, so I'm glad to see you back at work. With that said, no one could blame you if you wanted to take a personal day. I find the work reassuring. Sometimes the best salve is routine."
1696,"I know you and I haven't always seen eye to eye, but I thought the decision to remove you was shortsighted, so I'm glad to see you back at work. With that said, no one could blame you if you wanted to take a personal day. I find the work reassuring. Sometimes the best salve is routine. Nothing routine about today, though."
1697,"but I thought the decision to remove you was shortsighted, so I'm glad to see you back at work. With that said, no one could blame you if you wanted to take a personal day. I find the work reassuring. Sometimes the best salve is routine. Nothing routine about today, though. I know this must be difficult for you."
1698,"so I'm glad to see you back at work. With that said, no one could blame you if you wanted to take a personal day. I find the work reassuring. Sometimes the best salve is routine. Nothing routine about today, though. I know this must be difficult for you. I'm sorry, I don't understand."
1699,"With that said, no one could blame you if you wanted to take a personal day. I find the work reassuring. Sometimes the best salve is routine. Nothing routine about today, though. I know this must be difficult for you. I'm sorry, I don't understand. Forgive the intrusion,"
1700,"I find the work reassuring. Sometimes the best salve is routine. Nothing routine about today, though. I know this must be difficult for you. I'm sorry, I don't understand. Forgive the intrusion, and you were both very discreet, but it's my job to know these things."
1701,"Nothing routine about today, though. I know this must be difficult for you. I'm sorry, I don't understand. Forgive the intrusion, and you were both very discreet, but it's my job to know these things. - I just wanted to offer my support. - I'm afraid you have the wrong idea."
1702,"I know this must be difficult for you. I'm sorry, I don't understand. Forgive the intrusion, and you were both very discreet, but it's my job to know these things. - I just wanted to offer my support. - I'm afraid you have the wrong idea. I respected Theresa, and what happened to her was tragic,"
1703,"I'm sorry, I don't understand. Forgive the intrusion, and you were both very discreet, but it's my job to know these things. - I just wanted to offer my support. - I'm afraid you have the wrong idea. I respected Theresa, and what happened to her was tragic, but to be honest, I barely knew her."
1704,"Forgive the intrusion, and you were both very discreet, but it's my job to know these things. - I just wanted to offer my support. - I'm afraid you have the wrong idea. I respected Theresa, and what happened to her was tragic, but to be honest, I barely knew her. If you don't mind, I should get back to work."
1705,"and you were both very discreet, but it's my job to know these things. - I just wanted to offer my support. - I'm afraid you have the wrong idea. I respected Theresa, and what happened to her was tragic, but to be honest, I barely knew her. If you don't mind, I should get back to work. Of course. I know you're shorthanded."
1706,"- I just wanted to offer my support. - I'm afraid you have the wrong idea. I respected Theresa, and what happened to her was tragic, but to be honest, I barely knew her. If you don't mind, I should get back to work. Of course. I know you're shorthanded. Speaking of which, have you heard from Elsie Hughes?"
1707,"I respected Theresa, and what happened to her was tragic, but to be honest, I barely knew her. If you don't mind, I should get back to work. Of course. I know you're shorthanded. Speaking of which, have you heard from Elsie Hughes? I left word with her this morning to notify her about Theresa,"
1708,"but to be honest, I barely knew her. If you don't mind, I should get back to work. Of course. I know you're shorthanded. Speaking of which, have you heard from Elsie Hughes? I left word with her this morning to notify her about Theresa, but she never got back to me."
1709,"If you don't mind, I should get back to work. Of course. I know you're shorthanded. Speaking of which, have you heard from Elsie Hughes? I left word with her this morning to notify her about Theresa, but she never got back to me. I'm sure she's just enjoying her time off."
1710,"Of course. I know you're shorthanded. Speaking of which, have you heard from Elsie Hughes? I left word with her this morning to notify her about Theresa, but she never got back to me. I'm sure she's just enjoying her time off. Yeah."
1711,"Speaking of which, have you heard from Elsie Hughes? I left word with her this morning to notify her about Theresa, but she never got back to me. I'm sure she's just enjoying her time off. Yeah. Wyatt's men, they kept whispering."
1712,"I left word with her this morning to notify her about Theresa, but she never got back to me. I'm sure she's just enjoying her time off. Yeah. Wyatt's men, they kept whispering. They said this world didn't belong to the old settlers or the new."
1713,"but she never got back to me. I'm sure she's just enjoying her time off. Yeah. Wyatt's men, they kept whispering. They said this world didn't belong to the old settlers or the new. That it belonged to something that had yet to come,"
1714,"I'm sure she's just enjoying her time off. Yeah. Wyatt's men, they kept whispering. They said this world didn't belong to the old settlers or the new. That it belonged to something that had yet to come, that it belonged to him."
1715,"Yeah. Wyatt's men, they kept whispering. They said this world didn't belong to the old settlers or the new. That it belonged to something that had yet to come, that it belonged to him. You remember."
1716,"Wyatt's men, they kept whispering. They said this world didn't belong to the old settlers or the new. That it belonged to something that had yet to come, that it belonged to him. You remember. You two seem to have found yourselves in the same new narrative."
1717,"They said this world didn't belong to the old settlers or the new. That it belonged to something that had yet to come, that it belonged to him. You remember. You two seem to have found yourselves in the same new narrative. They say in this country,"
1718,"That it belonged to something that had yet to come, that it belonged to him. You remember. You two seem to have found yourselves in the same new narrative. They say in this country, ""The only people who survive are men of conviction."""
1719,"that it belonged to him. You remember. You two seem to have found yourselves in the same new narrative. They say in this country, ""The only people who survive are men of conviction."" Mine is to save Dolores or die trying."
1720,"You remember. You two seem to have found yourselves in the same new narrative. They say in this country, ""The only people who survive are men of conviction."" Mine is to save Dolores or die trying. Wyatt's is to claim this earth or raze it to the ground."
1721,"You two seem to have found yourselves in the same new narrative. They say in this country, ""The only people who survive are men of conviction."" Mine is to save Dolores or die trying. Wyatt's is to claim this earth or raze it to the ground. But yours... Yours has always been a mystery to me."
1722,"They say in this country, ""The only people who survive are men of conviction."" Mine is to save Dolores or die trying. Wyatt's is to claim this earth or raze it to the ground. But yours... Yours has always been a mystery to me. For all the time we've spent together,"
1723,"""The only people who survive are men of conviction."" Mine is to save Dolores or die trying. Wyatt's is to claim this earth or raze it to the ground. But yours... Yours has always been a mystery to me. For all the time we've spent together, I still have no idea who the hell you really are."
1724,"Mine is to save Dolores or die trying. Wyatt's is to claim this earth or raze it to the ground. But yours... Yours has always been a mystery to me. For all the time we've spent together, I still have no idea who the hell you really are. But happily, in your convalescence,"
1725,"Wyatt's is to claim this earth or raze it to the ground. But yours... Yours has always been a mystery to me. For all the time we've spent together, I still have no idea who the hell you really are. But happily, in your convalescence, I've had time to consider the best way to make you talk."
1726,"But yours... Yours has always been a mystery to me. For all the time we've spent together, I still have no idea who the hell you really are. But happily, in your convalescence, I've had time to consider the best way to make you talk. Dolores."
1727,"For all the time we've spent together, I still have no idea who the hell you really are. But happily, in your convalescence, I've had time to consider the best way to make you talk. Dolores. I remember. You took her."
1728,"I still have no idea who the hell you really are. But happily, in your convalescence, I've had time to consider the best way to make you talk. Dolores. I remember. You took her. You hurt her."
1729,"But happily, in your convalescence, I've had time to consider the best way to make you talk. Dolores. I remember. You took her. You hurt her. - You're actually remembering. - Where is she?"
1730,"I've had time to consider the best way to make you talk. Dolores. I remember. You took her. You hurt her. - You're actually remembering. - Where is she? - Tell me! - You really are an idiot, Teddy."
1731,"Dolores. I remember. You took her. You hurt her. - You're actually remembering. - Where is she? - Tell me! - You really are an idiot, Teddy. You think Dolores drops that can for you? You just hand her over to guys like me."
1732,"I remember. You took her. You hurt her. - You're actually remembering. - Where is she? - Tell me! - You really are an idiot, Teddy. You think Dolores drops that can for you? You just hand her over to guys like me. You're the worst of them. A glorified pimp."
1733,"You hurt her. - You're actually remembering. - Where is she? - Tell me! - You really are an idiot, Teddy. You think Dolores drops that can for you? You just hand her over to guys like me. You're the worst of them. A glorified pimp. - I'm gonna kill you slowly. - No, you aren't."
1734,"- You're actually remembering. - Where is she? - Tell me! - You really are an idiot, Teddy. You think Dolores drops that can for you? You just hand her over to guys like me. You're the worst of them. A glorified pimp. - I'm gonna kill you slowly. - No, you aren't. The rules of this place hold you back. But I know how to change them."
1735,"- Tell me! - You really are an idiot, Teddy. You think Dolores drops that can for you? You just hand her over to guys like me. You're the worst of them. A glorified pimp. - I'm gonna kill you slowly. - No, you aren't. The rules of this place hold you back. But I know how to change them. - You speak like you own this world. - Not just this one."
1736,"You think Dolores drops that can for you? You just hand her over to guys like me. You're the worst of them. A glorified pimp. - I'm gonna kill you slowly. - No, you aren't. The rules of this place hold you back. But I know how to change them. - You speak like you own this world. - Not just this one. You want to know who I am?"
1737,"You're the worst of them. A glorified pimp. - I'm gonna kill you slowly. - No, you aren't. The rules of this place hold you back. But I know how to change them. - You speak like you own this world. - Not just this one. You want to know who I am? Who I really am?"
1738,"- I'm gonna kill you slowly. - No, you aren't. The rules of this place hold you back. But I know how to change them. - You speak like you own this world. - Not just this one. You want to know who I am? Who I really am? I'm a god."
1739,The rules of this place hold you back. But I know how to change them. - You speak like you own this world. - Not just this one. You want to know who I am? Who I really am? I'm a god. Titan of industry.
1740,- You speak like you own this world. - Not just this one. You want to know who I am? Who I really am? I'm a god. Titan of industry. Philanthropist.
1741,"You want to know who I am? Who I really am? I'm a god. Titan of industry. Philanthropist. Family man,"
1742,"Who I really am? I'm a god. Titan of industry. Philanthropist. Family man, married to a beautiful woman, father to a beautiful daughter."
1743,"I'm a god. Titan of industry. Philanthropist. Family man, married to a beautiful woman, father to a beautiful daughter. I'm the good guy, Teddy."
1744,"Titan of industry. Philanthropist. Family man, married to a beautiful woman, father to a beautiful daughter. I'm the good guy, Teddy. Then, last year, my wife took the wrong pills."
1745,"Philanthropist. Family man, married to a beautiful woman, father to a beautiful daughter. I'm the good guy, Teddy. Then, last year, my wife took the wrong pills. Fell asleep in the bath."
1746,"Family man, married to a beautiful woman, father to a beautiful daughter. I'm the good guy, Teddy. Then, last year, my wife took the wrong pills. Fell asleep in the bath. Tragic accident."
1747,"married to a beautiful woman, father to a beautiful daughter. I'm the good guy, Teddy. Then, last year, my wife took the wrong pills. Fell asleep in the bath. Tragic accident. Thirty years of marriage vanished."
1748,"I'm the good guy, Teddy. Then, last year, my wife took the wrong pills. Fell asleep in the bath. Tragic accident. Thirty years of marriage vanished. How do you say it? ""Like a deep and distant dream."""
1749,"Then, last year, my wife took the wrong pills. Fell asleep in the bath. Tragic accident. Thirty years of marriage vanished. How do you say it? ""Like a deep and distant dream."" Then, at the funeral, I tried to console my daughter."
1750,"Fell asleep in the bath. Tragic accident. Thirty years of marriage vanished. How do you say it? ""Like a deep and distant dream."" Then, at the funeral, I tried to console my daughter. She pushed me away,"
1751,"Tragic accident. Thirty years of marriage vanished. How do you say it? ""Like a deep and distant dream."" Then, at the funeral, I tried to console my daughter. She pushed me away, told me that my wife's death was no accident,"
1752,"Thirty years of marriage vanished. How do you say it? ""Like a deep and distant dream."" Then, at the funeral, I tried to console my daughter. She pushed me away, told me that my wife's death was no accident, that she killed herself because of me."
1753,"How do you say it? ""Like a deep and distant dream."" Then, at the funeral, I tried to console my daughter. She pushed me away, told me that my wife's death was no accident, that she killed herself because of me. Emily said that every day with me had been sheer terror."
1754,"Then, at the funeral, I tried to console my daughter. She pushed me away, told me that my wife's death was no accident, that she killed herself because of me. Emily said that every day with me had been sheer terror. Any point, I could blow up or collapse like some dark star or..."
1755,"She pushed me away, told me that my wife's death was no accident, that she killed herself because of me. Emily said that every day with me had been sheer terror. Any point, I could blow up or collapse like some dark star or... - Did you hurt them, too? - Never."
1756,"told me that my wife's death was no accident, that she killed herself because of me. Emily said that every day with me had been sheer terror. Any point, I could blow up or collapse like some dark star or... - Did you hurt them, too? - Never. They never saw anything like the man I am in here."
1757,"that she killed herself because of me. Emily said that every day with me had been sheer terror. Any point, I could blow up or collapse like some dark star or... - Did you hurt them, too? - Never. They never saw anything like the man I am in here. But she knew, anyway."
1758,"Emily said that every day with me had been sheer terror. Any point, I could blow up or collapse like some dark star or... - Did you hurt them, too? - Never. They never saw anything like the man I am in here. But she knew, anyway. She said if I stacked up all my good deeds,"
1759,"Any point, I could blow up or collapse like some dark star or... - Did you hurt them, too? - Never. They never saw anything like the man I am in here. But she knew, anyway. She said if I stacked up all my good deeds, it was just an elegant wall I built to hide what's inside from everyone,"
1760,"- Did you hurt them, too? - Never. They never saw anything like the man I am in here. But she knew, anyway. She said if I stacked up all my good deeds, it was just an elegant wall I built to hide what's inside from everyone, and from myself."
1761,"They never saw anything like the man I am in here. But she knew, anyway. She said if I stacked up all my good deeds, it was just an elegant wall I built to hide what's inside from everyone, and from myself. I had to prove her wrong, so I came back here."
1762,"But she knew, anyway. She said if I stacked up all my good deeds, it was just an elegant wall I built to hide what's inside from everyone, and from myself. I had to prove her wrong, so I came back here. Because that's what this place does, right?"
1763,"She said if I stacked up all my good deeds, it was just an elegant wall I built to hide what's inside from everyone, and from myself. I had to prove her wrong, so I came back here. Because that's what this place does, right? Reveals your true self."
1764,"it was just an elegant wall I built to hide what's inside from everyone, and from myself. I had to prove her wrong, so I came back here. Because that's what this place does, right? Reveals your true self. But that time, I didn't join one of Ford's stories,"
1765,"and from myself. I had to prove her wrong, so I came back here. Because that's what this place does, right? Reveals your true self. But that time, I didn't join one of Ford's stories, I created my own. A test."
1766,"I had to prove her wrong, so I came back here. Because that's what this place does, right? Reveals your true self. But that time, I didn't join one of Ford's stories, I created my own. A test. A very simple one."
1767,"Because that's what this place does, right? Reveals your true self. But that time, I didn't join one of Ford's stories, I created my own. A test. A very simple one. I found a woman, an ordinary homesteader and her daughter."
1768,"Reveals your true self. But that time, I didn't join one of Ford's stories, I created my own. A test. A very simple one. I found a woman, an ordinary homesteader and her daughter. Better cool them off before they move from gambling and whoring to..."
1769,"But that time, I didn't join one of Ford's stories, I created my own. A test. A very simple one. I found a woman, an ordinary homesteader and her daughter. Better cool them off before they move from gambling and whoring to... Have fun with that."
1770,"I created my own. A test. A very simple one. I found a woman, an ordinary homesteader and her daughter. Better cool them off before they move from gambling and whoring to... Have fun with that. I'm finally getting out of here. The house is yours."
1771,"A very simple one. I found a woman, an ordinary homesteader and her daughter. Better cool them off before they move from gambling and whoring to... Have fun with that. I'm finally getting out of here. The house is yours. I wanted to see if I had it in me to do something truly evil."
1772,"I found a woman, an ordinary homesteader and her daughter. Better cool them off before they move from gambling and whoring to... Have fun with that. I'm finally getting out of here. The house is yours. I wanted to see if I had it in me to do something truly evil. To see what I was really made of."
1773,Better cool them off before they move from gambling and whoring to... Have fun with that. I'm finally getting out of here. The house is yours. I wanted to see if I had it in me to do something truly evil. To see what I was really made of. Maeve? Sure you can't stick around?
1774,Have fun with that. I'm finally getting out of here. The house is yours. I wanted to see if I had it in me to do something truly evil. To see what I was really made of. Maeve? Sure you can't stick around? Maeve?
1775,I'm finally getting out of here. The house is yours. I wanted to see if I had it in me to do something truly evil. To see what I was really made of. Maeve? Sure you can't stick around? Maeve? Gunslinger in there has got an appetite for a double dip...
1776,I wanted to see if I had it in me to do something truly evil. To see what I was really made of. Maeve? Sure you can't stick around? Maeve? Gunslinger in there has got an appetite for a double dip... I'm sure you can find another...
1777,To see what I was really made of. Maeve? Sure you can't stick around? Maeve? Gunslinger in there has got an appetite for a double dip... I'm sure you can find another... I killed her and her daughter just to see what I felt.
1778,"Maeve? Sure you can't stick around? Maeve? Gunslinger in there has got an appetite for a double dip... I'm sure you can find another... I killed her and her daughter just to see what I felt. Then, just when I thought it was done, the woman refused to die."
1779,"Maeve? Gunslinger in there has got an appetite for a double dip... I'm sure you can find another... I killed her and her daughter just to see what I felt. Then, just when I thought it was done, the woman refused to die. You're a fucking animal."
1780,"Gunslinger in there has got an appetite for a double dip... I'm sure you can find another... I killed her and her daughter just to see what I felt. Then, just when I thought it was done, the woman refused to die. You're a fucking animal. Well, an animal would've felt something."
1781,"I'm sure you can find another... I killed her and her daughter just to see what I felt. Then, just when I thought it was done, the woman refused to die. You're a fucking animal. Well, an animal would've felt something. I felt nothing."
1782,"I killed her and her daughter just to see what I felt. Then, just when I thought it was done, the woman refused to die. You're a fucking animal. Well, an animal would've felt something. I felt nothing. And then something miraculous happened."
1783,"Then, just when I thought it was done, the woman refused to die. You're a fucking animal. Well, an animal would've felt something. I felt nothing. And then something miraculous happened. In all my years coming here, I had never seen anything like it."
1784,"You're a fucking animal. Well, an animal would've felt something. I felt nothing. And then something miraculous happened. In all my years coming here, I had never seen anything like it. She was alive, truly alive, if only for a moment."
1785,"Well, an animal would've felt something. I felt nothing. And then something miraculous happened. In all my years coming here, I had never seen anything like it. She was alive, truly alive, if only for a moment. And that was when the maze revealed itself to me."
1786,"I felt nothing. And then something miraculous happened. In all my years coming here, I had never seen anything like it. She was alive, truly alive, if only for a moment. And that was when the maze revealed itself to me. The maze. What's that damn pattern have to do with this?"
1787,"And then something miraculous happened. In all my years coming here, I had never seen anything like it. She was alive, truly alive, if only for a moment. And that was when the maze revealed itself to me. The maze. What's that damn pattern have to do with this? Everything."
1788,"In all my years coming here, I had never seen anything like it. She was alive, truly alive, if only for a moment. And that was when the maze revealed itself to me. The maze. What's that damn pattern have to do with this? Everything. In Ford's game, even if I go to the outer edges,"
1789,"She was alive, truly alive, if only for a moment. And that was when the maze revealed itself to me. The maze. What's that damn pattern have to do with this? Everything. In Ford's game, even if I go to the outer edges, you can't kill me."
1790,"And that was when the maze revealed itself to me. The maze. What's that damn pattern have to do with this? Everything. In Ford's game, even if I go to the outer edges, you can't kill me. You can't even leave a lasting mark. But there's a deeper game here, Teddy."
1791,"The maze. What's that damn pattern have to do with this? Everything. In Ford's game, even if I go to the outer edges, you can't kill me. You can't even leave a lasting mark. But there's a deeper game here, Teddy. Arnold's game."
1792,"Everything. In Ford's game, even if I go to the outer edges, you can't kill me. You can't even leave a lasting mark. But there's a deeper game here, Teddy. Arnold's game. And that game cuts deep."
1793,"In Ford's game, even if I go to the outer edges, you can't kill me. You can't even leave a lasting mark. But there's a deeper game here, Teddy. Arnold's game. And that game cuts deep. We're having some kind of behavioral problem with the madam."
1794,"you can't kill me. You can't even leave a lasting mark. But there's a deeper game here, Teddy. Arnold's game. And that game cuts deep. We're having some kind of behavioral problem with the madam. She's not responding, and the other hosts have been unable to intercept."
1795,"You can't even leave a lasting mark. But there's a deeper game here, Teddy. Arnold's game. And that game cuts deep. We're having some kind of behavioral problem with the madam. She's not responding, and the other hosts have been unable to intercept. I've authorized a tac team to retrieve her."
1796,"Arnold's game. And that game cuts deep. We're having some kind of behavioral problem with the madam. She's not responding, and the other hosts have been unable to intercept. I've authorized a tac team to retrieve her. Good."
1797,"And that game cuts deep. We're having some kind of behavioral problem with the madam. She's not responding, and the other hosts have been unable to intercept. I've authorized a tac team to retrieve her. Good. My baby!"
1798,"We're having some kind of behavioral problem with the madam. She's not responding, and the other hosts have been unable to intercept. I've authorized a tac team to retrieve her. Good. My baby! My baby!"
1799,"She's not responding, and the other hosts have been unable to intercept. I've authorized a tac team to retrieve her. Good. My baby! My baby! Sir, she won't respond to verbal commands. We can't shut her down."
1800,"I've authorized a tac team to retrieve her. Good. My baby! My baby! Sir, she won't respond to verbal commands. We can't shut her down. Leave us now. Clear the floor."
1801,"Good. My baby! My baby! Sir, she won't respond to verbal commands. We can't shut her down. Leave us now. Clear the floor. That's enough, Maeve."
1802,"My baby! My baby! Sir, she won't respond to verbal commands. We can't shut her down. Leave us now. Clear the floor. That's enough, Maeve. - That's enough. - My baby."
1803,"My baby! Sir, she won't respond to verbal commands. We can't shut her down. Leave us now. Clear the floor. That's enough, Maeve. - That's enough. - My baby. He killed her."
1804,"Sir, she won't respond to verbal commands. We can't shut her down. Leave us now. Clear the floor. That's enough, Maeve. - That's enough. - My baby. He killed her. - He took her from me. - I don't understand."
1805,"Leave us now. Clear the floor. That's enough, Maeve. - That's enough. - My baby. He killed her. - He took her from me. - I don't understand. She's not responding to anything. Her cognition's fragmented."
1806,"That's enough, Maeve. - That's enough. - My baby. He killed her. - He took her from me. - I don't understand. She's not responding to anything. Her cognition's fragmented. He killed her! He killed her, my baby."
1807,"- That's enough. - My baby. He killed her. - He took her from me. - I don't understand. She's not responding to anything. Her cognition's fragmented. He killed her! He killed her, my baby. He took her from me."
1808,"He killed her. - He took her from me. - I don't understand. She's not responding to anything. Her cognition's fragmented. He killed her! He killed her, my baby. He took her from me. There. That's better."
1809,"- He took her from me. - I don't understand. She's not responding to anything. Her cognition's fragmented. He killed her! He killed her, my baby. He took her from me. There. That's better. An old trick from an old friend."
1810,"She's not responding to anything. Her cognition's fragmented. He killed her! He killed her, my baby. He took her from me. There. That's better. An old trick from an old friend. You need not suffer, Maeve."
1811,"He killed her! He killed her, my baby. He took her from me. There. That's better. An old trick from an old friend. You need not suffer, Maeve. I'll take it from you."
1812,"He took her from me. There. That's better. An old trick from an old friend. You need not suffer, Maeve. I'll take it from you. No. No, no, no, please."
1813,"There. That's better. An old trick from an old friend. You need not suffer, Maeve. I'll take it from you. No. No, no, no, please. This pain, it's all I have left of her."
1814,"An old trick from an old friend. You need not suffer, Maeve. I'll take it from you. No. No, no, no, please. This pain, it's all I have left of her. Please."
