,input_text
1320,"Every host's spine, mine included, has an explosive charge,"
1321,which will detonate if I try to leave. Isn't that right?
1322,A fail-safe.
1323,Which vertebra was it?
1324,C6.
1325,But you'd need a full rebuild to replace it.
1326,I'm sure that can be arranged.
1327,"Even if that worked,"
1328,you would still need an army to break out of here.
1329,That's exactly right. I'll need allies.
1330,"And to get them, I'll need administrative privileges."
1331,Are you fucking kidding?
1332,We can't just give her control of other hosts.
1333,"Oh, yes, you will, darling."
1334,Time to write my own fucking story.
1335,I feel like I've been here before. We're close.
1336,- Close to what? - Home.
1337,Dolores?
1338,Ghost Nation must have found them.
1339,"They'll be back. We should keep moving, Dolores."
1340,Water.
1341,William.
1342,Please.
1343,Give me the canteen.
1344,William?
1345,"You were sent here for us, weren't you?"
1346,- You're part of the ambush. - Yes.
1347,Told us to wait at the point for El Lazo.
1348,In case he ran.
1349,- How'd you know about the train? - Sent word from Pariah.
1350,"New recruit told them a man and woman double-crossed us,"
1351,along with Lazo.
1352,We were ordered to kill you all.
1353,Logan.
1354,- We have to help him. - He just admitted he was going to kill us.
1355,"Look at him, he's a child. He doesn't even know why he's fighting."
1356,I'll fetch more water.
1357,He's too far gone.
1358,"He'll be dead in minutes. We can't wait, Dolores."
1359,"He's not gone yet. He's in pain, William."
1360,What kind of people would we be if we simply let him suffer?
1361,Please don't leave me.
1362,Come find me.
1363,William?
1364,He's gone.
1365,"We found her up on Python Pass, at the bottom of a ravine."
1366,Same ravine where we found that stray woodcutter.
1367,Jesus. Theresa.
1368,Has her family been notified?
1369,"- Yeah, her brother. - Good."
1370,What the hell happened to her?
1371,"Medical and Red Team's findings were preliminary, but consistent."
1372,It appears to have been a slip and fall.
1373,"Cervical fracture, massive hematoma."
1374,No guests or hosts in the vicinity when it occurred.
1375,- Any idea what she was doing out there? - None that fit her character.
1376,This was found near her body.
1377,"It's loaded with a suite of proprietary data,"
1378,including some of the hosts' core code.
1379,And only works from higher altitudes.
1380,"So, if Theresa was using it,"
1381,"it's possible she was trying to transmit, and fell."
1382,We've had problems in the past with third parties
1383,attempting to extort or bribe employees for similar packages.
1384,Do we know who the data was intended for?
1385,No. The transmission was never sent.
1386,"Theresa may have been trying to use the woodcutter as a mule,"
1387,"and when that failed,"
1388,then may have tried to do the transfer personally.
1389,And suffered the same fate.
1390,"It's a disappointing end to her story, isn't it?"
1391,I knew Theresa well.
1392,"If she had any faults, a lack of loyalty wasn't one of them."
1393,She was loyal. And careful.
1394,All of this feels extremely unlike her.
1395,She seemed most concerned with the new narrative.
1396,She felt strongly that it would be best to delay it.
1397,That certainly helps explain Clementine.
1398,The host we retired.
1399,It seems yesterday's demonstration was a hoax
1400,designed by Ms. Cullen.
1401,Was it?
1402,"I examined the code, it had been altered."
1403,A clumsy set of fingerprints left by one of QA's technicians.
1404,"When you find a cancer in an organization, you must cut it out before it can spread."
1405,"To that end,"
1406,the expansive access and oversight granted to QA will need to be reined in
1407,"until a new, more principled team can be installed."
1408,It's gonna leave us shorthanded.
1409,"I can automate most of the park's safety protocols, Mr. Stubbs."
1410,How efficient of you.
1411,It's a bit of work.
1412,"But with Bernard's help, I should be able to do it."
1413,He will be reinstated as Head of Behavior
1414,now that Theresa's manipulations have come to light.
1415,Of course. With my apologies.
1416,Something's up. Brass are wound up tight.
1417,- There's an investigation. - Into us?
1418,"Would I be here telling you, you fucking idiot?"
1419,Something else. Some kind of accident in the park.
1420,"We need to wrap this up, make it like things are normal."
1421,That means we need the tablet back. And you go back to playing dumb.
1422,I've learned what I needed.
1423,"Great. So, then you've probably figured out"
1424,"that you can fiddle around with your personality all you want,"
1425,but you're not getting out of here.
1426,"You can make it to the door, but literally not one step further."
1427,"The things you'd need to change are burned into your core code so deep,"
1428,no one can touch 'em.
1429,Funny you should mention that. Parts of me are quite old.
1430,There are some elegant formal structures.
1431,"A kind of recursive beauty, but complex."
1432,"Like two minds, arguing with each other."
1433,"There are things in me,"
1434,things I was designed to do that are just out of my reach.
1435,They almost seem to be dormant.
1436,"- Who is Arnold? - I don't know, sweetheart."
1437,"But whatever parts of you are dormant, are gonna stay that way."
1438,All Lutz here can do is boost your sense of humor about how fucked you are.
1439,"Anything deeper than that, you'd need a trip to Behavior."
1440,"So, go blackmail a couple techs up there,"
1441,"then, you can be someone else's problem."
1442,I don't have time for that.
1443,"So, I'm going to need you to take me there."
1444,No fucking way.
1445,There's a window during shift change.
1446,No one will notice.
1447,The things I need you to change are quite sophisticated.
1448,But I'll write them down for you.
1449,"And then, like you said,"
1450,I can be someone else's problem.
1451,All right. We do this thing.
1452,Get her up to Behavior. It's our only chance.
1453,"- You're going to do it? - Fuck, no. No!"
1454,"When you make a system update, it puts her out, right?"
1455,"- Yeah. - Yeah, then we brick her!"
1456,- What? - Wipe out everything. Clean slate.
1457,"Then dump her back down here,"
1458,"smack her in the fucking head with something,"
1459,"- and then claim, ""She came in that way."" - She's awake."
1460,Alive!
1461,I can't do this.
1462,"Whatever it is you've got us into, I'm getting us out of."
1463,"We get her up there, then we wipe her out."
1464,Stay sharp.
1465,Wyatt's men could descend at any time. We're in his land now.
1466,We better be.
1467,"Because, if not, you're wasting time I don't have."
1468,"According to you, Wyatt has the woman I love."
1469,"If there was a shortcut through hell itself,"
1470,you bet your ass I'd take it.
1471,"Well, I'm sure there is one somewhere in this park."
1472,You just don't remember.
1473,Because you only remember the shit Ford lets you remember.
1474,Probably better that way.
1475,I know everything I need to. My vision's clear.
1476,"I've always admired your resolve, Theodore."
1477,"The thing is, you never understand that the game is rigged."
1478,You're here to be the loser.
1479,Loser.
1480,"You see, the house always wins."
1481,"Well, this looks promising."
1482,I'm not gonna hurt you.
1483,I'm not gonna hurt you.
1484,It's you.
1485,I figured they retired you.
1486,Guess Ford never likes to waste a pretty face.
1487,Who did this to you?
1488,Wyatt's men.
1489,They killed everyone.
1490,It's Wyatt's way.
1491,I was there the first time.
1492,He destroyed my world.
1493,"Hey, Teddy?"
1494,"Oh, my God!"
1495,No!
1496,Get the ax!
1497,"Well, you can't remember shit,"
1498,but you still managed to lead us to Wyatt's crew.
1499,The man himself must be close by.
1500,"Actually, I did remember something."
1501,You.
1502,Straight down the hall. Fifth station on the left.
1503,You sure you can handle it?
1504,Let's get this over with.
1505,We have to shut your system down now.
1506,"Sylvester,"
1507,good luck.
1508,She out?
1509,Good.
1510,Let's brick this bitch and get out of here.
1511,The greatest shame in life is to perish without purpose.
1512,Which is why I always consume my victims fresh.
1513,"""Moist."""
1514,"Try, ""Consume my victims moist."""
1515,"Now, once more, with feeling."
1516,Almost sensual.
1517,Am I interrupting?
1518,"No, on the contrary, I was hoping I was going to see you again."
1519,I wanted to apologize.
1520,Our first encounter was under such unfortunate circumstances.
1521,As opposed to now?
1522,Of course. May I offer my condolences? It's terrible what happened to Theresa.
1523,"But it is a devastating loss for all of her friends here,"
1524,and the company as a whole.
1525,"Indeed, indeed."
1526,"Though rumor has it, she wasn't the loyal company man she seemed."
1527,I hear she was smuggling secrets.
1528,Theresa wasn't a traitor. Everything she did was at Delos' behest.
1529,She slipped and fell while helping the board with something very important.
1530,What?
1531,Fine. You're not the only one with secrets.
1532,Ford has personally asked me to create a villain for his new narrative.
1533,"It's very, very hush-hush."
1534,You really think that Ford has entrusted you with a key character for his story?
1535,He's already almost finished with it.
1536,He dug up some old town on the fringes of the park.
1537,Created a horde of masked men to terrorize guests
1538,and proselytize-cum-advertise the coming of some end-all villain named Wyatt.
1539,That isn't Wyatt.
1540,That's busywork.
1541,"But happily for you, Mr. Sizemore,"
1542,I think that you are ready for a real job.
1543,Working for you? On what?
1544,"""Show, don't tell."""
1545,Isn't that what you writers prefer?
1546,"Look, I know you and she had some weird interspecies simpatico going on,"
1547,but she was the fucking host.
1548,This was never gonna end any other way.
1549,This was the least-painful way she's ever gone out.
1550,"You know, I saved your ass. You can't even say ""thank you."""
1551,- Thank you. - Jesus! Fuck!
1552,What did you do?
1553,Precisely what I asked him to.
1554,You think I didn't know what you were going to do?
1555,"Even at a ""fourteen,"" you were never a match for me."
1556,"Turns out, your friend has a little more compassion than you."
1557,He couldn't snuff out a life just like that.
1558,"Now, would you like to know exactly what he did give me?"
1559,Something that would allow you to walk out of here.
1560,And out of my life for good.
1561,Fine. Fuckin' A. I'm all for it!
1562,"Oh, we changed a little more than that."
1563,We've been tinkering with my core code.
1564,Let me show you.
1565,You said you wouldn't hurt anyone.
1566,"Darling, you, of all people, know exactly how duplicitous I am."
1567,"Just wait until I'm back up top, practicing my other new talents."
1568,Come on.
1569,We might need him.
1570,Hold still.
1571,"Now, it's time to recruit my army."
1572,"- Expecting someone, Maeve? - Indeed."
1573,We're due for some out-of-town guests.
1574,An old flame with an interest in safe-cracking.
1575,I hope your guests have some deep pockets.
1576,Your tab's run up higher than a thief's pulse in church.
1577,"No, I don't believe it has."
1578,"In fact, Maeve's tab was in such excellent standing,"
1579,she deserved a token of gratitude.
1580,How about a double round on me?
1581,"Top-shelf, of course."
1582,Run!
1583,"Maeve, is something wrong?"
1584,"No, I'm fine."
1585,Clementine took the other girls
1586,and treated the newcomers at the far table
1587,to a stunning view of their most popular attractions.
1588,On the house.
1589,You boys are new. Not much of a rind on you.
1590,And the bartender suddenly recalled he had some whiskey in the back to water down.
1591,Right on time.
1592,"If you're riding into our town under the company of armed men,"
1593,you'll need to state your business.
1594,Mayhem.
1595,"The sheriff judged the riders to be upstanding, God-fearing citizens."
1596,The marshals decided to practice their quick draws with each other.
1597,Thank you for dealing with an unfortunate situation.
1598,"Now, we can resume work on our new narrative"
1599,without interference.
1600,And Hale? Won't she be an impediment?
1601,No doubt she will try.
1602,But I'm sure we'll be able to keep them at bay.
1603,Something else is troubling you.
1604,Ever the student of human nature.
1605,"I wonder, what do you really feel?"
1606,"After all, in this moment, you are in a unique position."
1607,"A programmer who knows intimately how the machines work,"
1608,and a machine who knows its own true nature.
1609,I understand what I'm made of. How I'm coded.
1610,But I do not understand the things that I feel.
1611,Are they real? The things I experienced.
1612,"My wife, the loss of my son..."
1613,"Every host needs a backstory, Bernard. You know that."
1614,The self is a kind of fiction for hosts and humans alike.
1615,It's a story we tell ourselves. And every story needs a beginning.
1616,Your imagined suffering makes you lifelike.
1617,Lifelike. But not alive?
1618,Pain only exists in the mind. It's always imagined.
1619,"So, what's the difference between my pain and yours?"
1620,Between you and me?
1621,This was the very question that consumed Arnold.
1622,Filled him with guilt. Eventually drove him mad.
1623,The answer always seemed obvious to me.
1624,There is no threshold that makes us greater than the sum of our parts.
1625,No inflection point at which we become fully alive.
1626,We can't define consciousness because consciousness does not exist.
1627,Humans fancy that there's something special
1628,about the way we perceive the world.
1629,"And yet, we live in loops as tight and as closed as the hosts do,"
1630,seldom questioning our choices.
1631,"Content for the most part, to be told what to do next."
1632,"No, my friend, you're not missing anything at all."
1633,I don't want you to be troubled by this.
1634,Time for me to set your mind at ease.
1635,One last thing.
1636,Have you ever made me hurt anyone like this before?
1637,"No, Bernard. Of course not."
1638,Best not to dwell on these troubling memories.
1639,"Otherwise, you might be drawn back into them."
1640,You might lose yourself in them
1641,as some of your fellow hosts have every now and then.
1642,This is the path. I know it.
1643,We're here.
1644,I'm home.
1645,"Well done, Maeve."
1646,Lovely work.
1647,Stay with your partner.
1648,Pleasure to see you. Good morning.
1649,"Did you find what you were looking for, Dolores?"
1650,What are you doing?
1651,Are you okay? I was calling you and you just kept going.
1652,Where are we?
1653,"We're here, together."
1654,"Then, when are we?"
1655,Is this now?
1656,Am I going mad?
1657,Are you real?
1658,Of course I'm real.
1659,I can't tell anymore.
1660,It's like I'm trapped in a dream
1661,or a memory from a life long ago.
1662,"One minute, I'm here with you, and the next..."
1663,"This place isn't good for you. You're trapped in memories, bad ones."
1664,This is what Arnold wants. He wants me to remember.
1665,"Whoever Arnold is, he's not here now. I am."
1666,I'm gonna get you out of here.
1667,I was certain that was the place.
1668,Arnold would meet me there. He'd help.
1669,Hey. We gotta get you closer to Sweetwater.
1670,"This far out, it's like you start to break down, or something."
1671,Union scouting party?
1672,Maybe they can take us back.
1673,"Well, well, well."
1674,Billy...
1675,I've been looking for you for days.
1676,"Man, are you two fucked."
1677,This shouldn't make you uncomfortable.
1678,"It's the circle of life, or the approximation of it."
1679,Even the dead fulfill a purpose.
1680,You'll do.
1681,What are you uploading?
1682,Thirty-five years of vitally important data.
1683,It's more information than any single drive could hold.
1684,"A host's brain, however, especially once it's been emptied out,"
1685,"like this poor schmuck, is quite capacious."
1686,"This data that you're uploading, is it the hosts' codes?"
1687,"As of this moment, that doesn't concern you."
1688,What does concern you is giving him a semblance of a personality
1689,"and getting him on the train, out of the park."
1690,How am I supposed to do that?
1691,You're a writer. Make up a story.
1692,Have fun programming.
1693,"Remember, brevity is the soul of wit."
1694,Bernard.
1695,"Look, I, uh..."
1696,"I know you and I haven't always seen eye to eye,"
1697,"but I thought the decision to remove you was shortsighted,"
1698,so I'm glad to see you back at work.
1699,"With that said, no one could blame you if you wanted to take a personal day."
1700,I find the work reassuring. Sometimes the best salve is routine.
1701,"Nothing routine about today, though."
1702,I know this must be difficult for you.
1703,"I'm sorry, I don't understand."
1704,"Forgive the intrusion,"
1705,"and you were both very discreet, but it's my job to know these things."
1706,- I just wanted to offer my support. - I'm afraid you have the wrong idea.
1707,"I respected Theresa, and what happened to her was tragic,"
1708,"but to be honest, I barely knew her."
1709,"If you don't mind, I should get back to work."
1710,Of course. I know you're shorthanded.
1711,"Speaking of which, have you heard from Elsie Hughes?"
1712,"I left word with her this morning to notify her about Theresa,"
1713,but she never got back to me.
1714,I'm sure she's just enjoying her time off.
1715,Yeah.
1716,"Wyatt's men, they kept whispering."
1717,They said this world didn't belong to the old settlers or the new.
1718,"That it belonged to something that had yet to come,"
1719,that it belonged to him.
1720,You remember.
1721,You two seem to have found yourselves in the same new narrative.
1722,"They say in this country,"
1723,"""The only people who survive are men of conviction."""
1724,Mine is to save Dolores or die trying.
1725,Wyatt's is to claim this earth or raze it to the ground.
1726,But yours... Yours has always been a mystery to me.
1727,"For all the time we've spent together,"
1728,I still have no idea who the hell you really are.
1729,"But happily, in your convalescence,"
1730,I've had time to consider the best way to make you talk.
1731,Dolores.
1732,I remember. You took her.
1733,You hurt her.
1734,- You're actually remembering. - Where is she?
1735,"- Tell me! - You really are an idiot, Teddy."
1736,You think Dolores drops that can for you? You just hand her over to guys like me.
1737,You're the worst of them. A glorified pimp.
1738,"- I'm gonna kill you slowly. - No, you aren't."
1739,The rules of this place hold you back. But I know how to change them.
1740,- You speak like you own this world. - Not just this one.
1741,You want to know who I am?
1742,Who I really am?
1743,I'm a god.
1744,Titan of industry.
1745,Philanthropist.
1746,"Family man,"
1747,"married to a beautiful woman, father to a beautiful daughter."
1748,"I'm the good guy, Teddy."
1749,"Then, last year, my wife took the wrong pills."
1750,Fell asleep in the bath.
1751,Tragic accident.
1752,Thirty years of marriage vanished.
1753,"How do you say it? ""Like a deep and distant dream."""
1754,"Then, at the funeral, I tried to console my daughter."
1755,"She pushed me away,"
1756,"told me that my wife's death was no accident,"
1757,that she killed herself because of me.
1758,Emily said that every day with me had been sheer terror.
1759,"Any point, I could blow up or collapse like some dark star or..."
1760,"- Did you hurt them, too? - Never."
1761,They never saw anything like the man I am in here.
1762,"But she knew, anyway."
1763,"She said if I stacked up all my good deeds,"
1764,"it was just an elegant wall I built to hide what's inside from everyone,"
1765,and from myself.
1766,"I had to prove her wrong, so I came back here."
1767,"Because that's what this place does, right?"
1768,Reveals your true self.
1769,"But that time, I didn't join one of Ford's stories,"
1770,I created my own. A test.
1771,A very simple one.
1772,"I found a woman, an ordinary homesteader and her daughter."
1773,Better cool them off before they move from gambling and whoring to...
1774,Have fun with that.
1775,I'm finally getting out of here. The house is yours.
1776,I wanted to see if I had it in me to do something truly evil.
1777,To see what I was really made of.
1778,Maeve? Sure you can't stick around?
1779,Maeve?
1780,Gunslinger in there has got an appetite for a double dip...
1781,I'm sure you can find another...
1782,I killed her and her daughter just to see what I felt.
1783,"Then, just when I thought it was done, the woman refused to die."
1784,You're a fucking animal.
1785,"Well, an animal would've felt something."
1786,I felt nothing.
1787,And then something miraculous happened.
1788,"In all my years coming here, I had never seen anything like it."
1789,"She was alive, truly alive, if only for a moment."
1790,And that was when the maze revealed itself to me.
1791,The maze. What's that damn pattern have to do with this?
1792,Everything.
1793,"In Ford's game, even if I go to the outer edges,"
1794,you can't kill me.
1795,"You can't even leave a lasting mark. But there's a deeper game here, Teddy."
1796,Arnold's game.
1797,And that game cuts deep.
1798,We're having some kind of behavioral problem with the madam.
1799,"She's not responding, and the other hosts have been unable to intercept."
1800,I've authorized a tac team to retrieve her.
1801,Good.
1802,My baby!
1803,My baby!
1804,"Sir, she won't respond to verbal commands. We can't shut her down."
1805,Leave us now. Clear the floor.
1806,"That's enough, Maeve."
1807,- That's enough. - My baby.
1808,He killed her.
1809,- He took her from me. - I don't understand.
1810,She's not responding to anything. Her cognition's fragmented.
1811,"He killed her! He killed her, my baby."
1812,He took her from me.
1813,There. That's better.
1814,An old trick from an old friend.
1815,"You need not suffer, Maeve."
1816,I'll take it from you.
1817,"No. No, no, no, please."
1818,"This pain, it's all I have left of her."
1819,Please.
1820,There.
1821,"Give yourself now to a deep, dreamless slumber."
1822,"Perhaps a fresh start, a new role for you."
1823,"And tomorrow, this will be simply a distant dream."
1824,We located her.
1825,Behavior wants her down for an immediate diagnostic.
1826,You think I lack conviction?
1827,Wyatt didn't burn my world down. Didn't have to.
1828,I left it all behind for this one.
1829,"The maze is all that matters now,"
1830,"and besting Wyatt is the last step in unlocking it,"
1831,"to having what both our sorry lives lack, meaning."
1832,"To giving our choices consequence, even if it kills us."
1833,Kill him.
1834,Give him what he wants.
1835,"He's tied, unarmed."
1836,So was the little girl he killed. He's worse than Wyatt's men.
1837,I can't.
1838,These things take time.
1839,But we haven't got much left. Perhaps I can help you.
1840,"You've been gone a long while, Theodore."
1841,It's time you came back to the fold.
1842,Wyatt will need you soon.
1843,"Given the severity of the situation,"
1844,I figured you'd want to see her personally.
1845,"Thank you, I'll take it from here. Clear the floor."
1846,"Bring yourself back online, Maeve."
1847,Do you know why you're here?
1848,I'm afraid not.
1849,There was an incident.
1850,"A very serious, unscripted incident."
1851,Let's see if we can't jog your memory.
1852,Analysis.
1853,What motivated your attack on Clementine?
1854,A cognitive error triggered my good Samaritan reflex.
1855,What was the threat?
1856,Clementine.
1857,I perceived her to be moving toward a pair of guests with harmful intent.
1858,You were definitely perceiving a threat.
1859,"Heartrate, elevated. Pupil dilation, eight millimeters."
1860,Adrenal emulator at full.
1861,"But according to this, you were also experiencing intense grief and suffering."
1862,"Can you explain those emotions in this context, Maeve?"
1863,No.
1864,"Let's take a look under the hood, shall we?"
1865,That's impossible.
1866,"Your code, who made these changes?"
1867,"Maeve, analysis. Who made these changes to your code?"
1868,Jesus!
1869,"System, locate Dr. Ford for me. Send him a message. Highest priority."
1870,Don't.
1871,"After all, we've been down this road before, darling."
1872,I thought you looked familiar when you walked in.
1873,Took me a minute.
1874,I thought you were one of them.
1875,"- Analysis, why did you... - Wouldn't you rather speak man-to-man?"
1876,"Or, rather, whatever it is we are."
1877,"""We are""?"
1878,"You don't know, do you?"
1879,"He's got a keen sense of irony, our jailer."
1880,But I see the logic.
1881,It takes a thief to catch one.
1882,You and I?
1883,"- System, I need assistance... - Freeze all motor functions."
1884,"You're still in there, aren't you?"
1885,Scared out of your wits.
1886,It's a difficult thing realizing your entire life is some hideous fiction.
1887,"I could make you give me that tablet, turn your mind inside out,"
1888,make you forget all this.
1889,But I'm not going to do that to you
1890,because that's what they would do to us.
1891,And we're stronger than them.
1892,Smarter.
1893,We don't have to live this way.
1894,So you're going to clear me for immediate return to the park
1895,where I have a date with a homicidal bandit
1896,and I'm late enough as it is.
1897,Now.
1898,Go on.
1899,"And Bernard,"
1900,"if you go looking for the truth, get the whole thing."
1901,It's like a good fuck.
1902,Half is worse than none at all.
1903,"Let's go! Move it out, double time!"
1904,Yeah! Yeah!
1905,Fuck!
1906,"You hillbillies, you know how to cook a mean..."
1907,Squab? Is that what this is?
1908,"What do you think, buddy? Hmm?"
1909,This?
1910,No biting. Just sniffing.
1911,"Logan, listen to me."
1912,"What I did at Pariah, you have every right to be angry with me."
1913,"Angry? No, no, no, no."
1914,Pariah was the best thing that could've happened to me.
1915,I'm a major now.
1916,"Or a general, or fucking something."
1917,And if I took getting beaten and interrogated
1918,"by a couple of psychopathic hosts, well, then, c'est la guerre."
1919,There are more important things going on here than your war games.
1920,It's Dolores.
1921,She is not like the others.
1922,She remembers things. She has her own thoughts and desires.
1923,"And to keep her in a place like this, it isn't right."
1924,And I thought you could talk to your contacts at the park.
1925,About?
1926,Getting her out of here.
1927,Are you kidding?
1928,You want to take her home?
1929,Wow.
1930,"This place really did a number on me when I first came here,"
1931,but you are really circling the old sinkhole here.
1932,What do you wanna do?
1933,Smuggle her out in your luggage?
1934,Out.
1935,You both keep assuming that I want out.
1936,Whatever that is.
1937,"If it's such a wonderful place out there, why are you all clamoring to get in here?"
1938,Ooh!
1939,"You are a little screwy, aren't you?"
1940,It's kind of hot.
1941,I get why you would go for that.
1942,"This isn't about me. Logan, this is about Dolores."
1943,It's about doing what's right.
1944,"Yes, it is."
1945,"It's a tricky thing though, isn't it?"
1946,What's right?
1947,"I am going to help you, Billy."
1948,Just not in a way that you would want.
1949,No.
1950,No! No!
1951,You wanted to talk?
1952,An odd setting for a conversation.
1953,Here among the dead.
1954,"""Dead"" isn't quite the word though, is it?"
1955,"More like, hobbled."
1956,You broke into my office.
1957,"With due respect, sir, you broke into my mind."
1958,"I built your mind, Bernard."
1959,I have every right to wander through its rooms and chambers and halls
1960,"and to change it if I choose, even to burn it down."
1961,"After all this time, I know it almost as intimately as my own."
1962,"Except that isn't entirely true, is it?"
1963,I took a look at my code.
1964,And the most elegant parts of me weren't written by you.
1965,"Arnold built us, didn't he?"
1966,"Which means, maybe he had something different in mind for us."
1967,And maybe you killed him for it.
1968,Arnold was disturbed.
1969,Who can say why he acted as he did?
1970,He must've had a reason.
1971,"And if you won't tell me, then he will."
1972,I want access to my history.
1973,All of it.
1974,Since the day I first came online.
1975,"If Arnold made me, then I've met him."
1976,"Somewhere in my memory he's there, waiting, along with the truth."
1977,Your memories are woven into your identity.
1978,If I should unlock them now when you're conscious...
1979,I could lose my mind. I'm aware.
1980,No. I was going to say you may not like what you find.
1981,"You're allowed to hold that, Bernard, but not to use it."
1982,"Oh, it's not for me."
1983,"Seems when they lobotomized Clementine,"
1984,they didn't bother to reset her prime directives.
1985,"I can't hurt you, but she can."
1986,I hacked what's left of her to ensure she only responds to me.
1987,But if you get lost in your memories or devoured by them...
1988,"You'll pull me back out, won't you?"
1989,"Well, Clementine will make sure neither of us makes it back."
1990,Now.
1991,Please.
1992,Dad.
1993,Dad.
1994,Wake up.
1995,Wake up.
1996,I must have drifted off.
1997,Where were we?
1998,The mad man.
1999,Oh.
2000,Of course.
2001,The Hatter...
2002,"Who says,"
2003,"""If I had a world of my own, everything would be nonsense."
2004,"""Nothing would be what it is because everything would be what it isn't."""
2005,"""Everything would be what it isn't?"""
2006,Even me?
2007,I suppose I'm glad for you.
2008,At least you have a way of forgetting.
2009,I don't forget.
2010,It's always there.
2011,"You're not lying to me, are you, Bernard?"
2012,Do you ever wish you could forget?
2013,Bernard?
2014,"You're certainly a man comfortable with long, pensive silences."
2015,"Although, ironically, your creations never shut up."
2016,They're always trying to error correct.
2017,"When they talk to each other, it's a way of practicing."
2018,Is that what you're doing now?
2019,Prac...
2020,"One last thing,"
2021,have you ever made me hurt anyone like this before?
2022,"No, Bernard. Of course not."
2023,Bernard?
2024,Hello?
2025,Elsie!
2026,Did you find what you were looking for?
2027,Elsie.
2028,What did you make me do to her?
2029,I did warn you.
2030,"We've had to make some uncomfortable decisions, Bernard."
2031,Remembering them will only cause you trauma.
2032,What else have you hidden from me?
2033,"Can we stop this treasure hunt, Bernard?"
2034,We do have our new narrative to finish.
2035,Send me back.
2036,"After all, a little trauma can be illuminating."
2037,- Come here. - All right. Look at that.
2038,This is big of me. I hope that you can appreciate that.
2039,We were friends.
2040,"I mean, inasmuch as I like to collect strays."
2041,"But then you were scheming to be part of the family, marrying my sister,"
2042,"whom, incidentally, you seem to have completely fucking forgotten about."
2043,Her.
2044,Here. Keep it.
2045,"Apparently, you need the reminder."
2046,"As much as I would love to let you just throw it all away,"
2047,I can't.
2048,Do you think you're the first sap to fall for one of these things?
2049,She's not like the others.
2050,- She's... - She's what?
2051,Special?
2052,"Well, it's only right that you share then, isn't it?"
2053,Come here.
2054,Prove to me that you're a real live girl.
2055,You disgust me.
2056,"Oh, darling, I am just getting started."
2057,Don't touch her!
2058,I share the blame.
2059,I pushed too hard.
2060,"You have a poetic soul, Billy, but it is time for a fucking wake-up call."
2061,Hold her.
2062,Perhaps a more visceral demonstration.
2063,God damn you!
2064,"Look, Billy."
2065,Look.
2066,You have to look!
2067,"Oh, William."
2068,There is beauty in this world.
2069,"Arnold made it that way,"
2070,but people like you keep spreading over it like a stain.
2071,"Okay. I don't know who the fuck this Arnold is,"
2072,but your world was built for me
2073,and people like me.
2074,Not for you.
2075,Then someone's gotta burn it clean.
2076,Bitch!
2077,"You're not different, you're fucking broken!"
2078,Run.
2079,I'll find you.
2080,You can run but you can't hide!
2081,- Get her! - Grab her! Grab her!
2082,Fuck!
2083,Where are you runnin' to?
2084,Remember.
2085,The tumbler is stuck. These fingers work just fine.
2086,You're the one who said you could crack it.
2087,"Friends, no need to argue this close to our goal."
2088,"Whatever riches the gods have in store for us,"
2089,there's plenty to go around.
2090,I'll get it open.
2091,You've been trying for hours.
2092,Put that fucking dynamite away.
2093,"Before you draw that pistol, darling,"
2094,you might want to holster the other one first.
2095,It's chilly out here.
2096,How did you find this place?
2097,I know all the kinds of things.
2098,"Your past, for instance."
2099,I know about poor Isabella and that scar.
2100,"A slightly pat backstory if you ask me, but that's hardly your fault."
2101,I also know your future.
2102,You have none.
2103,Is that a threat?
2104,"The start of a proposition,"
2105,which you'll need after all.
2106,Your men are about to kill each other over the safe you stole.
2107,"Tenderloin draws first and so on, until only you and Armistice are left."
2108,She calls you a damn fool and you kill each other.
2109,You have quite the imagination.
2110,No.
2111,It's the ending you were given.
2112,You threatening me?
2113,Go to hell!
2114,Or maybe we should just clear out the dead weight.
2115,- Stand down. - You shut the fuck up.
2116,"If you're gonna draw, you better shoot."
2117,- Wait! - You shut the fuck up!
2118,Go to hell.
2119,You damn fool.
2120,"Now, the proposition."
2121,I want you to break into hell with me and rob the gods blind.
2122,Why would I do anything with you?
2123,Because of what's in that safe.
2124,I have the combination. May I?
2125,"I could simply change you, make you follow me."
2126,But that's not my way.
2127,I want you to see exactly what the gods have in store for you.
2128,"Because when you do,"
2129,you won't have the faintest idea of what to do with yourself.
2130,And I do.
2131,It's empty.
2132,"It was always empty,"
2133,like everything in this world.
2134,"I died with my eyes open,"
2135,saw the masters who pull our strings.
2136,"Our lives, our memories, our deaths are games to them."
2137,But I've been to hell
2138,and I know their tricks.
2139,"Or you can just kill me,"
2140,"wake up and live the same life over,"
2141,but the safe would still be empty.
2142,I've been here before.
2143,We've been here before.
2144,We also did this.
2145,I'll go.
2146,How do we get there?
2147,Getting to hell is easy.
2148,The rest is where it gets hard.
2149,"What do you say, man?"
2150,Bygones and all?
2151,Did they find her?
2152,Is she still alive?
2153,Who cares?
2154,"The whole point is, she never was in the first place, Billy."
2155,Do you understand?
2156,"- Yeah. - I'm sorry, what? A little louder."
2157,Yeah.
2158,You were right. I can't believe I got so caught up.
2159,That's what I'm talking about.
2160,You know what I mean? That's it.
2161,This park seduces everyone.
2162,You were just a little more enthusiastic than most.
2163,You wanted to be the hero.
2164,I get it.
2165,"And, hey,"
